,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
120,P02,M,Campus,Smartphone (iPhone 11 Pro),S01,P02_M_C7_Smartphone_S01.wav,,-38.89006449943382,0.8972768070130146,14.08,-36.726860517805385,FB,47.77914219374804
121,P02,M,Campus,Smartphone (iPhone 11 Pro),S02,P02_M_C7_Smartphone_S02.wav,,-39.55968332651301,0.9033228199771394,12.351995464852608,-38.92038889260532,FB,99.0
122,P02,M,Campus,Smartphone (iPhone 11 Pro),S03,P02_M_C7_Smartphone_S03.wav,,-37.81257117306194,0.899369119277111,15.743990929705216,-36.68211662714272,FB,41.73724377587849
123,P02,M,Campus,Smartphone (iPhone 11 Pro),S04,P02_M_C7_Smartphone_S04.wav,,-39.213728577360165,0.8766671288834686,13.056009070294785,-37.78290576922642,FB,99.0
124,P02,M,Campus,Smartphone (iPhone 11 Pro),S05,P02_M_C7_Smartphone_S05.wav,,-39.64999081610565,0.7825934396573667,8.831995464852607,-38.80501152324005,FB,47.82120281341598
125,P02,M,U-Bhf,Headset (Sennheiser PXC 550),S01,P02_M_C8_Headset_S01.wav,,-34.40076557768564,0.9476574638701072,15.36,-33.98789007632799,FB,99.0
126,P02,M,U-Bhf,Headset (Sennheiser PXC 550),S02,P02_M_C8_Headset_S02.wav,,-34.9692495747551,0.8600281813357684,15.296009070294785,-34.33749932847152,FB,41.26087445202698
127,P02,M,U-Bhf,Headset (Sennheiser PXC 550),S03,P02_M_C8_Headset_S03.wav,,-35.487162519211026,0.8716240937137467,14.016009070294784,-35.14841955130574,FB,48.43927920620979
128,P02,M,U-Bhf,Headset (Sennheiser PXC 550),S04,P02_M_C8_Headset_S04.wav,,-33.534988754674686,0.8592914705892185,15.68,-33.054804475984014,FB,51.08097524286636
129,P02,M,U-Bhf,Headset (Sennheiser PXC 550),S05,P02_M_C8_Headset_S05.wav,,-33.59204319311821,0.8223443355991765,8.128004535147392,-33.60247160852792,FB,53.52389827079864
130,P02,M,Mensa,Headset (Sennheiser PXC 550),S01,P02_M_C9_Headset_S01.wav,,-37.72895876017172,0.8903803218028394,15.231995464852607,-37.318858374680346,FB,47.73857386569592
131,P02,M,Mensa,Headset (Sennheiser PXC 550),S02,P02_M_C9_Headset_S02.wav,,-35.373776487570964,0.8792254155337599,15.488004535147391,-35.291719948732,FB,45.87756841899756
132,P02,M,Mensa,Headset (Sennheiser PXC 550),S03,P02_M_C9_Headset_S03.wav,,-33.191167577346526,0.9275055088389458,19.648004535147397,-32.24516712250098,FB,38.53947425284192
133,P02,M,Mensa,Headset (Sennheiser PXC 550),S04,P02_M_C9_Headset_S04.wav,,-34.68758960969298,0.8381603363144864,20.031995464852606,-34.24023841077612,FB,44.9749425874083
134,P02,M,Mensa,Headset (Sennheiser PXC 550),S05,P02_M_C9_Headset_S05.wav,,-33.09775642127648,0.8727417449497885,9.728004535147392,-32.88434178249538,FB,55.28625355943149
